x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
5.410886,-5.250000,5.250000,5.200000,0.000000,0.000000,0.500000,6.000000
5.463137,-5.250000,5.200000,5.250000,0.000000,0.000000,0.936492,6.000000
5.525155,-5.250000,5.200000,5.250000,0.000000,0.000000,1.273273,6.000000
5.596157,-5.250000,5.200000,5.250000,0.000000,0.000000,1.572659,6.000000
5.675289,-5.250000,5.200000,5.250000,0.000000,-0.000000,1.850091,6.000000
5.761636,-5.250000,5.200000,5.250000,0.000000,-0.000000,2.111634,6.000000
5.854243,-5.250000,5.200000,5.250000,0.000000,0.000000,2.360146,6.000000
5.952136,-5.250000,5.200000,5.250000,0.000000,-0.000000,2.597113,6.000000
6.054333,-5.250000,5.200000,5.250000,0.000000,-0.000000,2.823361,6.000000
6.159871,-5.250000,5.200000,5.250000,0.000000,-0.000000,3.039379,6.000000
6.267818,-5.250000,5.200000,5.250000,0.000000,0.000000,3.245487,6.000000
6.377292,-5.250000,5.200000,5.250000,0.000000,-0.000000,3.441928,6.000000
6.487481,-5.250000,5.200000,5.250000,0.000000,0.000000,3.628930,6.000000
6.597659,-5.250000,5.200000,5.250000,0.000000,0.000000,3.806741,6.000000
6.707208,-5.250000,5.200000,5.250000,0.000000,0.000000,3.975660,6.000000
6.815631,-5.250000,5.200000,5.250000,0.000000,0.000000,4.136054,6.000000
6.922566,-5.250000,5.200000,5.250000,0.000000,0.000000,4.288375,6.000000
7.027777,-5.250000,5.200000,5.250000,0.000000,0.000000,4.433136,6.000000
7.131146,-5.250000,5.200000,5.250000,0.000000,0.000000,4.570900,6.000000
7.232654,-5.250000,5.200000,5.250000,0.000000,0.000000,4.702256,6.000000
7.332368,-5.250000,5.200000,5.250000,0.000000,-0.000000,4.827814,6.000000
7.430434,-5.250000,5.200000,5.250000,0.000000,0.000000,4.948189,6.000000
7.527052,-5.250000,5.200000,5.250000,0.000000,0.000000,5.063990,6.000000
7.622475,-5.250000,5.200000,5.250000,0.000000,0.000000,5.175816,6.000000
7.716987,-5.250000,5.200000,5.250000,0.000000,-0.000000,5.284242,6.000000
7.810890,-5.250000,5.200000,5.250000,0.000000,0.000000,5.389810,6.000000
7.904497,-5.250000,5.200000,5.250000,0.000000,-0.000000,5.493026,6.000000
7.998110,-5.250000,5.200000,5.250000,0.000000,-0.000000,5.594344,6.000000
8.092012,-5.250000,5.200000,5.250000,0.000000,-0.000000,5.694165,6.000000
8.186453,-5.250000,5.200000,5.250000,0.000000,-0.000000,5.792824,6.000000
8.281645,-5.250000,5.200000,5.250000,0.000000,-0.000000,5.890595,6.000000
8.377756,-5.250000,5.200000,5.250000,0.000000,0.000000,5.987691,6.000000
8.474920,-5.250000,5.200000,5.250000,0.000000,-0.000000,6.084275,6.000000
8.573228,-5.250000,5.200000,5.250000,0.000000,-0.000000,6.180462,6.000000
8.672737,-5.250000,5.200000,5.250000,0.000000,-0.000000,6.276322,6.000000
8.773466,-5.250000,5.200000,5.250000,0.000000,-0.000000,6.371888,6.000000
8.875396,-5.250000,5.200000,5.250000,0.000000,-0.000000,6.467157,6.000000
8.978474,-5.250000,5.200000,5.250000,0.000000,0.000000,6.562093,6.000000
9.082613,-5.250000,5.200000,5.250000,0.000000,-0.000000,6.656630,6.000000
9.187690,-5.250000,5.200000,5.250000,0.000000,-0.000000,6.750677,6.000000
9.293549,-5.250000,5.200000,5.250000,0.000000,-0.000000,6.844118,6.000000
9.400001,-5.250000,5.200000,5.250000,0.000000,-0.000000,6.936814,6.000000
9.506827,-5.250000,5.200000,5.250000,0.000000,-0.000000,7.028605,6.000000
9.613772,-5.250000,5.200000,5.250000,0.000000,0.000000,7.119314,6.000000
9.720540,-5.250000,5.200000,5.250000,0.000000,0.000000,7.208734,6.000000
9.826773,-5.250000,5.200000,5.250000,0.000000,0.000000,7.296619,6.000000
9.932029,-5.250000,5.200000,5.250000,0.000000,-0.000000,7.382663,6.000000
10.035760,-5.250000,5.200000,5.250000,0.000000,0.000000,7.466491,6.000000
10.137295,-5.250000,5.200000,5.250000,0.000000,-0.000000,7.547643,6.000000
10.235818,-5.250000,5.200000,5.250000,0.000000,0.000000,7.625561,6.000000
10.330348,-5.250000,5.200000,5.250000,0.000000,-0.000000,7.699581,6.000000
10.419782,-5.250000,5.200000,5.250000,0.000000,-0.000000,7.768961,6.000000
10.502966,-5.250000,5.200000,5.250000,0.000000,0.000000,7.832941,6.000000
10.578789,-5.250000,5.200000,5.250000,0.000000,0.000000,7.890807,6.000000
10.646244,-5.250000,5.200000,5.250000,0.000000,0.000000,7.941933,6.000000
10.704446,-5.250000,5.200000,5.250000,0.000000,-0.000000,7.985783,2.358343
10.752632,-5.250000,5.200000,5.250000,0.000000,0.000000,8.000000,0.000000
10.790151,-5.250000,5.200000,5.250000,0.000000,0.000000,8.000000,0.000000
10.816466,-5.250000,5.200000,5.250000,0.000000,-0.000000,8.000000,0.000000
10.831143,-5.250000,5.200000,5.250000,0.000000,0.000000,8.000000,0.000000
10.833853,-5.250000,5.200000,5.250000,3.141593,0.000000,8.000000,0.000000
10.824367,-5.250000,5.200000,5.250000,3.141593,0.000000,8.000000,0.000000
10.802547,-5.250000,5.200000,5.250000,3.141593,0.000000,8.000000,0.000000
10.768347,-5.250000,5.200000,5.250000,-3.141593,0.000000,8.000000,0.000000
10.721807,-5.250000,5.200000,5.250000,3.141593,-0.000000,8.000000,0.000000
10.663050,-5.250000,5.200000,5.250000,-3.141593,0.000000,8.000000,0.000000
10.592274,-5.250000,5.200000,5.250000,3.141593,-0.000000,8.000000,0.000000
10.509753,-5.250000,5.200000,5.250000,-3.141593,0.000000,8.000000,0.000000
10.415830,-5.250000,5.200000,5.250000,-3.141593,0.000000,8.000000,0.000000
10.310914,-5.250000,5.200000,5.250000,-3.141593,0.000000,8.000000,0.000000
10.195473,-5.250000,5.200000,5.250000,-3.141593,-0.000000,8.000000,0.000000
10.070036,-5.250000,5.200000,5.250000,-3.141593,-0.000000,8.000000,0.000000
9.935181,-5.250000,5.200000,5.250000,-3.141593,0.000000,8.000000,0.000000
9.791538,-5.250000,5.200000,5.250000,-3.141593,0.000000,8.000000,0.000000
9.639780,-5.250000,5.200000,5.250000,-3.141593,-0.000000,8.000000,0.000000
9.480620,-5.250000,5.200000,5.250000,-3.141593,0.000000,8.000000,0.000000
9.314810,-5.250000,5.200000,5.250000,-3.141593,-0.000000,8.000000,0.000000
9.143132,-5.250000,5.200000,5.250000,-3.141593,-0.000000,8.000000,0.000000
8.966398,-5.250000,5.200000,5.250000,-3.141593,0.000000,8.000000,0.000000
8.785441,-5.250000,5.200000,5.250000,-3.141593,-0.000000,8.000000,0.000000
8.601118,-5.250000,5.200000,5.250000,-3.141593,-0.000000,8.000000,0.000000
8.414299,-5.250000,5.200000,5.250000,-3.141593,0.000000,8.000000,0.000000
8.225866,-5.250000,5.200000,5.250000,-3.141593,-0.000000,8.000000,0.000000
8.036710,-5.250000,5.200000,5.250000,-3.141593,0.000000,8.000000,0.000000
7.847723,-5.250000,5.200000,5.250000,-3.141593,0.000000,8.000000,0.000000
7.659799,-5.250000,5.200000,5.250000,-3.141593,-0.000000,8.000000,0.000000
7.473825,-5.250000,5.200000,5.250000,-3.141593,0.000000,8.000000,0.000000
7.290679,-5.250000,5.200000,5.250000,-3.141593,0.000000,8.000000,0.000000
7.111227,-5.250000,5.200000,5.250000,-3.141593,0.000000,8.000000,0.000000
6.936317,-5.250000,5.200000,5.250000,-3.141593,-0.000000,8.000000,0.000000
6.766776,-5.250000,5.200000,5.250000,-3.141593,-0.000000,8.000000,0.000000
6.603406,-5.250000,5.200000,5.250000,-3.141593,0.000000,8.000000,0.000000
